id,parent,place_type,place_code,code_type,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,street_code,box_code,latitude,longitude,last_modified
101275,100285,town,,,Vereeniging,,,,,,,,,,,1939,1930,-26.6022035,27.8903499,2024-03-27T05:03:19.418381+00:00
101276,100716,town,,,Verkeerdevlei,,,,,,,,,,,9401,9401,-28.8349010,26.7736065,2024-03-27T05:03:18.520098+00:00
101277,100306,town,,,Verulam,,,,,,,,,,,4339,4340,-29.6492309,31.0398727,2024-03-27T05:03:19.764526+00:00
101278,100622,district_municipality,DC34,municipal_code,Vhembe,,,,,,,,,,,,,-22.8013964,29.7885079,2024-03-27T05:03:21.050555+00:00
101279,101222,town,,,Victoria West,,,,,,,,,,,7070,7070,-31.3990445,23.1180607,2024-03-27T05:03:22.350576+00:00
101280,100880,local_municipality,MP311,municipal_code,Victor Khanye,,,,,,,,,,,,,-26.1332631,28.6820978,2024-03-27T05:03:21.852379+00:00
101281,100792,town,,,Vierfontein,,,,,,,,,,,2615,2615,-27.0965053,26.7730226,2024-03-27T05:03:18.429948+00:00
101282,100792,town,,,Viljoenskroon,,,,,,,,,,,9520,9520,-27.2149087,26.9469546,2024-03-27T05:03:18.433575+00:00
101283,100661,town,,,Villiers,,,,,,,,,,,9840,9840,-27.0291320,28.6066507,2024-03-27T05:03:18.384316+00:00
101284,101180,town,,,Villiersdorp,,,,,,,,,,,6848,6848,-33.9890899,19.2845903,2024-03-27T05:03:23.631219+00:00
101285,100846,town,,,Vioolsdrif,,,,,,,,,,,,8246,-28.7757540,17.6228557,2024-03-27T05:03:22.198379+00:00
101286,100986,town,,,Volksrust,,,,,,,,,,,2470,2470,-27.3653558,29.8809268,2024-03-27T05:03:21.755315+00:00
101287,100481,town,,,Vosburg,,,,,,,,,,,8780,8780,-30.5715237,22.8766533,2024-03-27T05:03:22.270074+00:00
101288,100269,town,,,Vosloorus,,,,,,,,,,,1475,1486,-26.3569510,28.1958832,2024-03-27T05:03:19.374808+00:00
101289,100281,town,,,Vosman,,,,,,,,,,,1034,,-25.8689684,29.1381037,2024-03-27T05:03:17.966642+00:00
101290,100974,town,,,Vrede,,,,,,,,,,,9835,9835,-27.4233129,29.1623203,2024-03-27T05:03:18.828912+00:00
101291,100875,town,,,Vredefort,,,,,,,,,,,9595,9595,-27.0055444,27.3678193,2024-03-27T05:03:18.475805+00:00
101292,101077,town,,,Vredenburg,,,,,,,,,,,7380,7380,-32.9100063,17.9897856,2024-03-27T05:03:23.781767+00:00
101293,100844,town,,,Vryburg,,,,,,,,,,,8601,8600,-26.9562557,24.7229346,2024-03-27T05:03:22.836766+00:00
101294,100001,town,,,Vryheid,,,,,,,,,,,3100,3100,-27.7701286,30.7863568,2024-03-27T05:03:20.696561+00:00
101295,100986,town,,,Vukuzakhe,,,,,,,,,,,,2470,-27.3664354,29.9039945,2024-03-27T05:03:21.759085+00:00
101296,101224,local_municipality,KZN211,municipal_code,Vulamehlo,,,,,,,,,,,,,-30.1957403,30.5289434,2024-03-27T05:03:20.114208+00:00
101297,100672,town,,,Vuwani,,,,,,,,,,,0952,0952,-23.1379234,30.4219419,2024-03-27T05:03:21.139548+00:00
101298,100986,town,,,Wakkerstroom,,,,,,,,,,,2480,2480,-27.3525442,30.1454748,2024-03-27T05:03:21.762885+00:00
101299,100754,town,,,Walkerville,,,,,,,,,,,1961,1876,-26.4156060,27.9551589,2024-03-27T05:03:19.454290+00:00
101300,100974,town,,,Warden,,,,,,,,,,,9890,9890,-27.8534365,28.9625819,2024-03-27T05:03:18.832498+00:00
101301,101242,town,,,Wartburg,,,,,,,,,,,,3233,-29.4322344,30.5716704,2024-03-27T05:03:20.249977+00:00
101302,100294,town,,,Wasbank,,,,,,,,,,,,2920,-28.3125992,30.1024773,2024-03-27T05:03:20.332106+00:00
