place_type,place_code,code_type,eng,street_code,latitude,longitude
town,,,Roodepan,8309,-28.6649299,24.7151046
town,,,Roodepoort,1724,-26.117909,27.8816235
town,,,Rooigrond,,-25.923024,25.7977004
town,,,Roseneath,,-30.1880277,30.7401671
town,,,Rosetta,,-29.3082359,29.9733322
town,,,Rossouw,,-31.1684038,27.2775846
town,,,Rust De Winter,,-25.1992045,28.6110582
town,,,Rustenburg,299,-25.6673461,27.2246331
local_municipality,NW373,municipal_code,Rustenburg,,-25.6444633,27.2139064
town,,,Sabie,1260,-25.0924513,30.7749654
town,,,Sada,5630,-32.1987398,26.8094427
town,,,Sakhile,2431,-26.9747048,29.2003376
local_municipality,EC138,municipal_code,Sakhisizwe,,-31.4594285,27.6340916
town,,,Saldanha,7395,-33.010361,17.9432025
local_municipality,WC014,municipal_code,Saldanha Bay,,-32.9585693,18.0085939
suburb,,,Salt River,7925,-33.9287,18.4578
town,,,Salt Rock,4392,-29.4948842,31.2400825
town,,,Sandton,2196,-26.0609393,28.0306458
town,,,Sangcwaba,,-30.1901738,30.4031652
town,,,Sannieshof,2760,-26.5310902,25.8065268
town,,,Saron,,-33.1849259,19.0031117
town,,,Sasolburg,1947,-26.8147257,27.8412445
town,,,Saulsville,125,-25.7744313,28.0546828
town,,,Scarborough,,-34.1987763,18.3737909
town,,,Schweizer-Reneke,2780,-27.1927661,25.2971956
town,,,Scottburgh,4180,-30.292439,30.7465216
town,,,Sea Park,,-30.6953181,30.483506
town,,,Sebokeng,1983,-26.5701097,27.8336972
town,,,Secunda,2302,-26.509323,29.188014
town,,,Sedgefield,6573,-34.0202511,22.7919039
district_municipality,DC42,municipal_code,Sedibeng,,-26.5403898,27.9446121
town,,,Sekgakgapeng,,-24.171614,28.9688336
town,,,Sekgopo,,-23.6127486,29.9994894
district_municipality,DC47,municipal_code,Sekhukhune,,-24.7850042,29.4503635
town,,,Senekal,9600,-28.3170894,27.6082706
local_municipality,EC142,municipal_code,Senqu,,-30.7938113,27.2275775
town,,,Seshego,741,-23.846174,29.3888815
local_municipality,FS191,municipal_code,Setsoto,,-28.5695521,27.329784
town,,,Settlers,,-24.9505293,28.5274478
town,,,Seymour,,-32.555446,26.757349
town,,,Sezela,,-30.4060364,30.6743906
town,,,Shakaskraal,4430,-29.4466148,31.2171468
town,,,Sharpeville,1928,-26.6866874,27.8679876
town,,,Sheepmoor,2352,-26.7180877,30.2962541
town,,,Shelly Beach,4265,-30.7978824,30.411426
town,,,Sidbury,,-33.4318366,26.1777484
town,,,Simile,,-25.0802595,30.7806007
town,,,Simon's Town,7975,-34.1902932,18.4247532
town,,,Sinthumule,921,-23.1017616,29.7661139
district_municipality,DC43,municipal_code,Sisonke,,-30.0472421,29.4782871
town,,,Siyabuswa,472,-25.1184651,29.0581779
local_municipality,NC078,municipal_code,Siyancuma,,-29.023069,23.4024582
district_municipality,DC8,municipal_code,Siyanda,,-28.0138778,20.4486667
local_municipality,NC077,municipal_code,Siyathemba,,-29.4490798,22.326151
town,,,Siyathuthuka,1102,-25.6776687,29.9914516
town,,,Slurry,,-25.8159733,25.8375714
town,,,Smithfield,9966,-30.2179332,26.5319741
town,,,Sobantu,3201,-29.5969893,30.420937
town,,,Soebatsfontein,,-30.1188357,17.589497
town,,,Soekmekaar,810,-23.494788,29.9320105
local_municipality,NC091,municipal_code,Sol Plaatje,,-28.752539,24.5590071
town,,,Somerset East,5850,-32.7212988,25.5768742
town,,,Somerset West,7130,-34.0710571,18.8377185
town,,,Sonop,,-25.6467209,27.6897647
town,,,Sonwabile,,-31.0751342,28.358753
town,,,Soshanguve,152,-25.4968327,28.0885702
town,,,Southbroom,,-30.9298314,30.2938458
town,,,Southport,,-30.6793639,30.4981209
town,,,Soutpan,,-28.7481833,26.0435251
town,,,Soweto,4309,-26.2457852,27.8215852
town,,,Springbok,8240,-29.6562794,17.8773592
town,,,Springfontein,9917,-30.2633995,25.7039579
town,,,Springs,1559,-26.2529211,28.4351948
town,,,Standerton,2430,-26.9460939,29.2175088
town,,,Stanford,,-34.4428796,19.4508026
town,,,Steelpoort,1133,-24.8020345,30.1477683
town,,,Steinkopf,8244,-29.2636461,17.7274306
town,,,Stella,8650,-26.5521277,24.8541834
local_municipality,WC024,municipal_code,Stellenbosch,,-33.9207202,18.8647361
town,,,Stellenbosch,7600,-33.9334901,18.8619121
town,,,Sterkspruit,9762,-30.5238752,27.3600657
town,,,Sterkstroom,5425,-31.5580946,26.5495649
local_municipality,MP313,municipal_code,Steve Tshwete,,-25.8319801,29.3614076
town,,,Steynsburg,5920,-31.2986532,25.8197355
town,,,Steytlerville,6250,-33.3340124,24.3392684
town,,,St Francis Bay,6312,-34.1644503,24.8181973
town,,,St Helena Bay,,-32.7515245,17.9877723
town,,,Stilbaai,6674,-34.3677313,21.4062972
town,,,Stilfontein,2551,-26.8428857,26.7632084
town,,,St Lucia,,-28.3761996,32.4126694
town,,,St Lucia,,-28.3773571,32.4110815
town,,,Stormsrivier,,-33.9701692,23.8787931
town,,,Strand,7140,-34.1130919,18.8419529
